,tags,words
0,-,-
1,-,-
2,-,-
3,como,como
4,*,te
5,nomb,llamas
6,-,-
7,-,-
8,-,-
9,-,-
10,-,-
11,-,-
12,como,cual
13,*,te
14,nomb,llamas
15,-,-
16,-,-
17,-,-
18,-,-
19,-,-
20,-,-
21,como,como
22,*,te
23,nomb,nombre
24,-,-
25,-,-
26,-,-
27,-,-
28,-,-
29,-,-
30,como,cual
31,*,te
32,nomb,nombre
33,-,-
34,-,-
35,-,-
36,-,-
37,-,-
38,-,-
39,como,como
40,*,te
41,nomb,nombras
42,-,-
43,-,-
44,-,-
45,-,-
46,-,-
47,-,-
48,como,cual
49,*,te
50,nomb,nombras
51,-,-
52,-,-
53,-,-
54,-,-
55,-,-
56,-,-
57,como,como
58,*,te
59,nomb,identificas
60,-,-
61,-,-
62,-,-
63,-,-
64,-,-
65,-,-
66,como,cual
67,*,te
68,nomb,identificas
69,-,-
70,-,-
71,-,-
72,-,-
73,-,-
74,-,-
75,como,como
76,*,te
77,nomb,identidad
78,-,-
79,-,-
80,-,-
81,-,-
82,-,-
83,-,-
84,como,cual
85,*,te
86,nomb,identidad
87,-,-
88,-,-
89,-,-
90,-,-
91,-,-
92,-,-
93,como,como
94,nomb,llamas
95,*,tu
96,-,-
97,-,-
98,-,-
99,-,-
100,-,-
101,-,-
102,como,cual
103,nomb,llamas
104,*,tu
105,-,-
106,-,-
107,-,-
108,-,-
109,-,-
110,-,-
111,como,como
112,nomb,nombre
113,*,tu
114,-,-
115,-,-
116,-,-
117,-,-
118,-,-
119,-,-
120,como,cual
121,nomb,nombre
122,*,tu
123,-,-
124,-,-
125,-,-
126,-,-
127,-,-
128,-,-
129,como,como
130,nomb,nombras
131,*,tu
132,-,-
133,-,-
134,-,-
135,-,-
136,-,-
137,-,-
138,como,cual
139,nomb,nombras
140,*,tu
141,-,-
142,-,-
143,-,-
144,-,-
145,-,-
146,-,-
147,como,como
148,nomb,identificas
149,*,tu
150,-,-
151,-,-
152,-,-
153,-,-
154,-,-
155,-,-
156,como,cual
157,nomb,identificas
158,*,tu
159,-,-
160,-,-
161,-,-
162,-,-
163,-,-
164,-,-
165,como,como
166,nomb,identidad
167,*,tu
168,-,-
169,-,-
170,-,-
171,-,-
172,-,-
173,-,-
174,como,cual
175,nomb,identidad
176,*,tu
177,-,-
178,-,-
179,-,-
180,-,-
181,-,-
182,-,-
183,como,como
184,*,es
185,*,tu
186,nomb,llamas
187,-,-
188,-,-
189,-,-
190,-,-
191,-,-
192,-,-
193,como,cual
194,*,es
195,*,tu
196,nomb,llamas
197,-,-
198,-,-
199,-,-
200,-,-
201,-,-
202,-,-
203,como,como
204,*,es
205,*,tu
206,nomb,nombre
207,-,-
208,-,-
209,-,-
210,-,-
211,-,-
212,-,-
213,como,cual
214,*,es
215,*,tu
216,nomb,nombre
217,-,-
218,-,-
